Easting,Northing,Weighting,Cluster_220,Cluster_480
680295.212965016,6408910.47628851,16.0,30,18
680297.265005414,6407687.63707078,10.0,32,9
680297.265005414,6407896.36485504,4.0,15,8
680297.962119935,6407286.46961547,14.0,26,15
680298.213887526,6405991.04039598,16.0,33,19
680298.213887526,6406286.77885646,16.0,31,11
680298.213887526,6406582.43491007,16.0,23,14
680298.213887526,6406795.56035462,4.0,24,29
680301.012965016,6408176.63240144,16.0,34,20
680301.012965016,6408472.35510613,16.0,29,17
680301.012965016,6408684.4555116,4.0,28,16
680301.012965016,6408910.47804949,16.0,35,21
680303.065005414,6407686.64071378,10.0,32,9
680303.065005414,6407895.36759142,4.0,15,8
680303.762119936,6407286.46781719,14.0,26,15
680304.013887526,6405991.04014571,16.0,36,22
680304.013887526,6406286.78003164,16.0,31,11
680304.013887526,6406582.43867759,16.0,23,14
680304.013887526,6406795.55978037,4.0,24,29
680306.812965016,6408176.63344479,16.0,34,20
680306.812965016,6408472.35257678,16.0,29,17
680306.812965016,6408684.45210745,4.0,28,16
680306.812965016,6408910.47691947,16.0,35,21
680308.865005414,6407721.12245902,3.0,32,9
680308.865005414,6407894.37170584,4.0,15,8
680309.562119936,6407286.46605559,14.0,26,15
680309.813887526,6405991.04014937,16.0,36,22
680309.813887526,6406286.78107697,16.0,19,11
680309.813887526,6406582.44135453,16.0,27,14
680309.813887526,6406795.55881018,4.0,24,29
680312.612965016,6408176.63440902,16.0,37,12
680312.612965016,6408472.35052299,16.0,29,17
680312.612965016,6408684.44879734,4.0,28,16
680312.612965016,6408910.4785478,16.0,35,21
680314.665005414,6407736.94452382,4.0,32,9
680314.665005414,6407893.37444565,4.0,15,8
680315.362119936,6407107.56806617,2.0,44,24
680315.362119936,6407286.46485736,14.0,26,15
680315.613887526,6405991.03995061,16.0,38,19
680315.613887526,6406286.78304719,16.0,19,11
680315.613887526,6406582.4436332,16.0,27,14
680315.613887526,6406795.55913839,4.0,24,29
680318.412965016,6408176.63528636,16.0,37,12
680318.412965016,6408472.34826426,16.0,29,17
680318.412965016,6408684.44480821,4.0,28,16
680318.412965016,6408927.51121898,14.0,30,18
680320.465005414,6407735.94737605,4.0,32,9
680320.465005414,6407909.13053341,3.0,15,8
680321.162119936,6407107.56790207,2.0,44,24
680321.162119936,6407286.46333093,14.0,26,15
680321.413887526,6405991.03907357,16.0,38,19
680321.413887526,6406286.78416866,16.0,19,11
680321.413887526,6406582.4452923,16.0,27,14
680321.413887526,6406795.55973661,4.0,24,29
680324.212965016,6408176.63665495,16.0,20,12
680324.212965016,6408472.34805128,16.0,39,17
680324.212965016,6408684.44447836,4.0,28,16
680324.212965016,6408927.51141933,14.0,30,18
680326.265005414,6407734.94820554,4.0,32,9
680326.265005414,6407908.13439266,3.0,15,8
680326.962119936,6407107.56719082,2.0,44,24
680326.962119936,6407286.46225801,14.0,26,15
680327.213887526,6405991.03747763,16.0,38,19
680327.213887526,6406286.78553359,16.0,31,11
680327.213887526,6406582.44810054,16.0,27,14
680327.213887526,6406795.55948452,4.0,24,29
680330.012965016,6408176.63804755,16.0,20,12
680330.012965016,6408472.34787934,16.0,39,17
680330.012965016,6408684.44429221,4.0,28,16
680330.012965017,6408927.51138155,14.0,30,18
680332.065005415,6407733.95090929,4.0,32,9
680332.065005415,6407907.13924213,3.0,15,8
680332.762119936,6407107.56483125,2.0,44,24
680332.762119936,6407286.46175089,14.0,40,15
680333.013887526,6405991.03613535,16.0,38,19
680333.013887526,6406286.78643285,16.0,41,23
680333.013887526,6406582.44987923,16.0,23,14
680333.013887526,6406778.5420715,3.0,24,29
680335.812965016,6408176.63999024,16.0,34,20
680335.812965016,6408472.34648005,16.0,29,17
680335.812965016,6408684.44184882,4.0,28,16
680335.812965016,6408927.50803521,14.0,35,21
680337.865005415,6407732.95367645,4.0,32,9
680337.865005415,6407906.14474312,3.0,15,8
680338.562119936,6407107.56255777,2.0,44,24
680338.562119936,6407286.46199789,14.0,40,15
680338.813887526,6405991.033502,16.0,36,22
680338.813887526,6406286.78662938,16.0,41,23
680338.813887526,6406582.44629109,16.0,23,14
680338.813887526,6406778.5417538,3.0,24,29
680341.612965016,6408472.34574279,16.0,29,17
680341.612965017,6408176.64175445,16.0,34,20
680341.612965017,6408684.43904491,4.0,28,16
680341.612965017,6408910.47830271,16.0,35,21
680343.665005415,6407731.95636724,4.0,32,9
680343.665005415,6407905.15139525,3.0,15,8
680344.362119936,6407107.56009798,2.0,44,24
680344.362119936,6407286.45901902,14.0,40,15
680344.613887526,6405991.0362886,16.0,36,22
680344.613887526,6406286.78749283,16.0,31,11
680344.613887526,6406582.44808902,16.0,23,14
680344.613887526,6406778.5425291,3.0,24,29
680347.412965017,6408176.64271322,16.0,37,12
680347.412965017,6408472.34437497,16.0,29,17
680347.412965017,6408684.4366104,4.0,28,16
680347.412965017,6408910.47755631,16.0,35,21
680349.465005415,6407730.95934218,4.0,32,9
680349.465005415,6407904.15546508,3.0,15,8
680350.162119936,6407111.55612759,2.0,44,24
680350.162119936,6407286.45820723,14.0,40,15
680350.413887526,6405991.03737872,16.0,38,19
680350.413887526,6406286.7890095,16.0,31,11
680350.413887526,6406582.44938438,16.0,23,14
680350.413887526,6406778.51636436,3.0,24,29
680353.212965016,6408472.34351681,16.0,29,17
680353.212965016,6408684.43394121,4.0,28,16
680353.212965017,6408176.64435394,16.0,37,12
680353.212965017,6408910.47663201,16.0,35,21
680355.265005415,6407729.96232751,4.0,32,9
680355.265005415,6407903.15922553,3.0,15,8
680355.962119936,6407111.55424929,2.0,44,24
680355.962119936,6407303.52764953,16.0,40,15
680356.213887526,6405991.03778466,16.0,38,19
680356.213887526,6406286.78955857,16.0,31,11
680356.213887526,6406582.45093674,16.0,27,14
680356.213887526,6406778.51662252,3.0,24,29
680359.012965017,6408176.64622329,16.0,34,20
680359.012965017,6408472.34185811,16.0,39,17
680359.012965017,6408667.39885032,3.0,28,16
680359.012965017,6408910.56037819,16.0,35,21
680361.065005415,6407728.96528803,4.0,32,9
680361.065005415,6407902.16506123,3.0,15,8
680361.762119936,6407111.55062103,2.0,44,24
680361.762119936,6407303.52697605,16.0,40,15
680362.013887526,6405991.03947843,16.0,42,22
680362.013887526,6406286.79011084,16.0,31,11
680362.013887527,6406599.53210905,14.0,27,14
680364.812965017,6408176.64716966,16.0,34,20
680364.812965017,6408472.3353441,16.0,39,17
680364.812965017,6408667.39589665,3.0,28,16
680364.812965017,6408927.49176084,14.0,35,21
680366.865005415,6407727.96842836,4.0,32,9
680367.562119936,6407111.54901469,2.0,44,24
680367.562119936,6407320.61211256,14.0,40,15
680367.813887527,6405991.0394213,16.0,42,22
680367.813887527,6406286.79090587,16.0,41,23
680367.813887527,6406599.53151019,14.0,23,14
680370.612965017,6408176.6501306,16.0,34,20
680370.612965017,6408472.33492795,16.0,39,17
680370.612965017,6408667.39756951,3.0,28,16
680370.612965017,6408927.47380992,14.0,35,21
680372.665005415,6407726.97367853,4.0,32,9
680373.362119936,6407111.55083692,2.0,44,24
680373.362119936,6407320.60827498,14.0,40,15
680373.613887527,6405991.03905386,16.0,36,22
680373.613887527,6406286.79152149,16.0,41,23
680373.613887527,6406599.53089702,14.0,23,14
680376.412965017,6408176.65187334,16.0,34,20
680376.412965017,6408472.33877722,16.0,39,17
680376.412965017,6408684.42549999,4.0,28,16
680376.412965017,6408927.47361899,14.0,43,21
680378.465005415,6407725.97695588,4.0,32,9
680379.162119936,6407111.54727477,2.0,44,24
