Easting,Northing,Weighting,Cluster_240,Cluster_480,Cluster_Parent,Cluster_Sub
680368.412965016,6408684.44480821,4.0,73,43,43,1264
680368.412965016,6408927.51121898,14.0,74,44,44,1280
680370.465005414,6407735.94737605,4.0,86,50,50,1443
680370.465005414,6407909.13053341,3.0,89,22,22,694
680371.162119936,6407107.56790207,2.0,94,14,14,441
680371.162119936,6407286.46333093,14.0,91,16,16,509
680371.413887526,6405991.03907357,16.0,17,9,9,284
680371.413887526,6406286.78416866,16.0,5,3,3,103
680371.413887526,6406582.4452923,16.0,20,11,11,370
680371.413887526,6406795.55973661,4.0,26,15,15,491
680374.212965016,6408176.63665495,16.0,84,49,49,1423
680374.212965016,6408472.34805128,16.0,70,42,42,1228
680374.212965016,6408684.44447836,4.0,73,43,43,1263
680374.212965016,6408927.51141933,14.0,74,44,44,1278
680376.265005414,6407734.94820554,4.0,86,50,50,1443
680376.265005414,6407908.13439266,3.0,89,22,22,694
680376.962119936,6407107.56719082,2.0,94,14,14,441
680376.962119936,6407286.46225801,14.0,90,52,52,1509
680377.213887526,6405991.03747763,16.0,17,9,9,282
680377.213887526,6406286.78553359,16.0,5,3,3,101
