LocationX,LocationY,Weighting
680333.013887526,6405991.03613535,8
680333.013887526,6405991.03613535,8
680338.813887526,6405991.033502,8
680338.813887526,6405991.033502,8
680344.613887526,6405991.0362886,8
680344.613887526,6405991.0362886,8
680350.413887526,6405991.03737872,8
680350.413887526,6405991.03737872,8
680356.213887526,6405991.03778466,8
680356.213887526,6405991.03778466,8
680362.013887526,6405991.03947843,8
680362.013887526,6405991.03947843,8
680367.813887527,6405991.0394213,8
680367.813887527,6405991.0394213,8
680373.613887527,6405991.03905386,8
680373.613887527,6405991.03905386,8
680379.413887527,6405991.04455575,8
680379.413887527,6405991.04455575,8
680385.213887527,6405991.04685461,8
680385.213887527,6405991.04685461,8
680391.013887527,6405991.04844023,8
680391.013887527,6405991.04844023,8
680396.813887527,6405991.04817925,8
680396.813887527,6405991.04817925,8
680402.613887527,6405991.04997842,8
680402.613887527,6405991.04997842,8
680408.413887527,6405991.05029621,8
680408.413887527,6405991.05029621,8
680414.213887527,6405991.04983382,8
680414.213887527,6405991.04983382,8
680420.013887527,6405991.04953997,8
680420.013887527,6405991.04953997,8
680425.813887527,6405991.05112592,8
680425.813887527,6405991.05112592,8
680431.613887527,6405991.05157529,8
680431.613887527,6405991.05157529,8
680437.413887527,6405991.05353264,8
680437.413887527,6405991.05353264,8
680443.213887527,6405991.05290116,8
680443.213887527,6405991.05290116,8
680449.013887527,6405991.05517514,8
680449.013887527,6405991.05517514,8
680454.813887527,6405991.05613243,8
680454.813887527,6405991.05613243,8
680460.613887527,6405991.05673868,8
680460.613887527,6405991.05673868,8
680466.413887527,6405991.05505017,8
680466.413887527,6405991.05505017,8
680472.213887527,6405991.05769567,8
680472.213887527,6405991.05769567,8
680478.013887527,6405991.05685453,8
680478.013887527,6405991.05685453,8
680483.813887527,6405991.0554011,8
680483.813887527,6405991.0554011,8
680489.613887528,6405991.0548684,8
680489.613887528,6405991.0548684,8
680495.413887528,6405991.05487365,8
680495.413887528,6405991.05487365,8
680501.213887528,6405991.05398147,8
680501.213887528,6405991.05398147,8
680507.013887528,6405991.05388715,8
680507.013887528,6405991.05388715,8
680512.813887528,6405991.05499875,8
680512.813887528,6405991.05499875,8
680518.613887528,6405991.05516997,8
680518.613887528,6405991.05516997,8
680524.413887528,6405991.05498317,8
680524.413887528,6405991.05498317,8
680530.213887528,6405991.05612711,8
680530.213887528,6405991.05612711,8
680536.013887528,6405991.05574659,8
680536.013887528,6405991.05574659,8
680541.813887528,6405991.05535689,8
680541.813887528,6405991.05535689,8
680547.613887528,6405991.05783588,8
680547.613887528,6405991.05783588,8
680553.413887528,6405991.0584077,8
680553.413887528,6405991.0584077,8
680559.213887528,6405991.05860414,8
680559.213887528,6405991.05860414,8
680565.013887528,6405991.05858795,8
